State,Race,Income
RI,hispanic_american,31121
SC,african_american,30221
SC,pacific_islander,31086
SC,american_indian,31769
SC,asian_american,55313
SC,white_american,52996
SC,hispanic_american,36869
SD,african_american,31758
SD,pacific_islander,53209
SD,american_indian,25708
SD,asian_american,47699
SD,white_american,53435
SD,hispanic_american,39920
TN,african_american,32344
TN,pacific_islander,42647
TN,american_indian,36748
TN,asian_american,66331
TN,white_american,48747
TN,hispanic_american,35721
TX,african_american,39345
TX,pacific_islander,52859
TX,american_indian,47841
TX,asian_american,75796
TX,white_american,65714
TX,hispanic_american,41248
UT,african_american,38900
UT,pacific_islander,50918
UT,american_indian,36428
UT,asian_american,61124
UT,white_american,63767
UT,hispanic_american,43192
VA,african_american,44562
VA,pacific_islander,89125
VA,american_indian,54031
VA,asian_american,94896
VA,white_american,70415
VA,hispanic_american,60904
VT,african_american,50417
VT,pacific_islander,0
VT,american_indian,40167
VT,asian_american,55179
VT,white_american,55504
VT,hispanic_american,51231
WA,african_american,42200
WA,pacific_islander,52165
WA,american_indian,40216
WA,asian_american,74914
WA,white_american,63582
WA,hispanic_american,44073
WI,african_american,27099
WI,pacific_islander,35588
WI,american_indian,37492
WI,asian_american,57785
WI,white_american,56470
WI,hispanic_american,37766
WV,african_american,29202
WV,pacific_islander,36375
WV,american_indian,24278
WV,asian_american,57500
WV,white_american,42224
WV,hispanic_american,40847
WY,african_american,38958
WY,pacific_islander,131176
WY,american_indian,42326
WY,asian_american,38762
WY,white_american,60950
WY,hispanic_american,43813
